support;itemsets
0.14448;frozenset({'Banana'})
0.11504;frozenset({'Bag of Organic Bananas'})
0.07964;frozenset({'Organic Strawberries'})
0.0742;frozenset({'Organic Baby Spinach'})
0.06192;frozenset({'Large Lemon'})
0.05488;frozenset({'Organic Hass Avocado'})
0.05308;frozenset({'Organic Avocado'})
0.05184;frozenset({'Strawberries'})
0.04536;frozenset({'Limes'})
0.04184;frozenset({'Organic Raspberries'})
0.0378;frozenset({'Organic Blueberries'})
0.0366;frozenset({'Organic Zucchini'})
0.03508;frozenset({'Organic Garlic'})
0.03488;frozenset({'Organic Whole Milk'})
0.03396;frozenset({'Organic Yellow Onion'})
0.03352;frozenset({'Organic Cucumber'})
0.03076;frozenset({'Seedless Red Grapes'})
0.0304;frozenset({'Yellow Onions'})
0.02944;frozenset({'Organic Red Onion'})
0.02928;frozenset({'Asparagus'})
0.028;frozenset({'Honeycrisp Apple'})
0.02792;frozenset({'Organic Grape Tomatoes'})
0.02752;frozenset({'Organic Baby Carrots'})
0.02712;frozenset({'Organic Lemon'})
0.02644;frozenset({'Organic Cilantro'})
0.02512;frozenset({'Sparkling Water Grapefruit'})
0.02404;frozenset({'Raspberries'})
0.024;frozenset({'Broccoli Crown'})
0.02356;frozenset({'Organic Fuji Apple'})
0.02324;frozenset({'Small Hass Avocado'})
0.02308;frozenset({'Organic Baby Arugula'})
0.02224;frozenset({'Bag of Organic Bananas & Organic Strawberries'})
0.02196;frozenset({'Red Peppers'})
0.0214;frozenset({'Organic Gala Apples'})
0.02136;frozenset({'Organic Blackberries'})
0.021;frozenset({'Organic Italian Parsley Bunch'})
0.02092;frozenset({'Michigan Organic Kale'})
0.02084;frozenset({'Original Hummus'})
0.02068;frozenset({'Organic Large Extra Fancy Fuji Apple'})
0.0202;frozenset({'Fresh Cauliflower'})
