support,itemsets
0.044903428911767206,frozenset({'Strawberries'})
0.0313536969284438,frozenset({'Organic Blueberries'})
0.017676337956266486,frozenset({'Raspberries'})
0.02295158682889475,frozenset({'Yellow Onions'})
0.013762443631413256,frozenset({'Bunched Cilantro'})
0.009657108823279163,frozenset({'Vanilla Almond Breeze Almond Milk'})
0.021675316940355654,frozenset({'Original Hummus'})
0.016740406704671147,frozenset({'Organic Peeled Whole Baby Carrots'})
0.008933889219773675,frozenset({'Organic Extra Firm Tofu'})
0.02201565557729941,frozenset({'Carrots'})
0.01193312345784055,frozenset({'Granny Smith Apples'})
0.02122862247936697,frozenset({'Half & Half'})
0.009933633965795967,frozenset({'Clementines'})
0.034693269803454434,frozenset({'Organic Yellow Onion'})
0.05575172296434953,frozenset({'Organic Avocado'})
0.11760827022887774,frozenset({'Bag of Organic Bananas'})
0.016974389517569983,frozenset({'Red Peppers'})
0.006381349442695482,frozenset({'Total 2% Lowfat Greek Strained Yogurt with Peach'})
0.009699651152897133,frozenset({'Organic Whole Strawberries'})
0.027056921637028844,frozenset({'Organic Lemon'})
0.006253722453841573,frozenset({'Oven Roasted Turkey Breast'})
0.03277886497064579,frozenset({'Organic Garlic'})
0.011528971326469838,frozenset({'Pure Irish Butter'})
0.009252956691908449,frozenset({'Pure Sparkling Water'})
0.14883434016846764,frozenset({'Banana'})
0.02375989109163618,frozenset({'Organic Baby Carrots'})
0.020271420062962647,frozenset({'Organic Small Bunch Celery'})
0.011954394622649536,frozenset({'2% Reduced Fat Milk'})
0.009486939504807283,frozenset({'No Salt Added Black Beans'})
0.08340423721602995,frozenset({'Organic Strawberries'})
0.011337530843188974,frozenset({'Organic Spring Mix'})
0.00714711137581894,frozenset({'Organic Diced Tomatoes'})
0.010359057261975666,frozenset({'Organic Sticks Low Moisture Part Skim Mozzarella String Cheese'})
0.014698374883008593,frozenset({'Organic Reduced Fat 2% Milk'})
0.007529992342380669,frozenset({'Electrolyte Enhanced Water'})
0.043244278056666384,frozenset({'Organic Raspberries'})
0.042393431464306984,frozenset({'Organic Whole Milk'})
0.02769505658129839,frozenset({'Organic Fuji Apple'})
0.007636348166425593,frozenset({'Total 0% Greek Yogurt'})
0.02656768484642219,frozenset({'Apple Honeycrisp Organic'})
0.033119203607589555,frozenset({'Organic Zucchini'})
0.022930315664085765,frozenset({'Organic Gala Apples'})
0.01593210244192972,frozenset({'Organic Ginger Root'})
0.015613034969794945,frozenset({'Small Hass Avocado'})
0.00710456904620097,frozenset({'Heavy Whipping Cream'})
0.03090700246745512,frozenset({'Cucumber Kirby'})
0.04754105334808134,frozenset({'Large Lemon'})
0.024993618650557305,frozenset({'Honeycrisp Apple'})
0.010103803284267847,frozenset({'Organic Baby Broccoli'})
0.005360333531864205,frozenset({'Sustainably Soft Bath Tissue'})
0.01876116736152472,frozenset({'Organic Granny Smith Apple'})
0.012082021611503445,"frozenset({'Clementines, Bag'})"
0.008380838934740066,frozenset({'Green Onions'})
0.0053816046966731895,frozenset({'Organic Low Sodium Chicken Broth'})
0.06717433846677444,frozenset({'Organic Hass Avocado'})
0.02518505913383817,frozenset({'Organic Cucumber'})
0.023504637113928358,frozenset({'Organic Large Extra Fancy Fuji Apple'})
0.019739640942738026,frozenset({'Organic Tomato Cluster'})
0.016740406704671147,frozenset({'Organic Garnet Sweet Potato (Yam)'})
0.015910831277120736,frozenset({'Organic Kiwi'})
0.014102782268357015,frozenset({'Organic Navel Orange'})
0.011911852293031567,frozenset({'100% Raw Coconut Water'})
0.009252956691908449,frozenset({'Frozen Organic Wild Blueberries'})
0.008231940781077172,frozenset({'Organic Large Grade AA Brown Eggs'})
0.007891602144133413,frozenset({'Pineapple Chunks'})
0.017187101165659833,frozenset({'Spring Water'})
0.009465668339998299,frozenset({'Italian Sparkling Mineral Water'})
0.006211180124223602,frozenset({'Organic Green Seedless Grapes'})
0.015272696332851186,frozenset({'Hass Avocados'})
0.005849570322470858,frozenset({'Chicken & Maple Breakfast Sausage'})
0.006296264783459542,frozenset({'Organic Unsalted Butter'})
0.007338551859099804,frozenset({'Organic Bread with 21 Whole Grains'})
0.0057219433336169485,frozenset({'Organic Baby Spinach Salad'})
0.01933548881136731,frozenset({'Organic Blackberries'})
0.010018718625031908,frozenset({'Russet Potato'})
0.009316770186335404,frozenset({'Sharp Cheddar Cheese'})
0.025440313111545987,frozenset({'Seedless Red Grapes'})
0.02239853654386114,frozenset({'Organic Baby Arugula'})
0.018676082702288776,frozenset({'100% Whole Wheat Bread'})
0.012273462094784311,frozenset({'Roma Tomato'})
0.005955926146515783,frozenset({'Vanilla Skyr Nonfat Yogurt'})
0.005573045179954055,frozenset({'Hass Avocado'})
0.01425168042201991,frozenset({'Lime Sparkling Water'})
0.010763209393346379,frozenset({'Organic Bartlett Pear'})
0.006891857398111121,frozenset({'Organic Yellow Peaches'})
0.00529652003743725,frozenset({'Globe Eggplant'})
0.022483621203097083,frozenset({'Fresh Cauliflower'})
0.012294733259593295,frozenset({'Organic Broccoli'})
0.024015145069343997,frozenset({'Sparkling Water Grapefruit'})
0.010529226580447545,frozenset({'Sparkling Lemon Water'})
0.02025014889815366,frozenset({'Asparagus'})
0.01735727048413171,frozenset({'Green Bell Pepper'})
0.011996936952267506,frozenset({'Organic Grade A Free Range Large Brown Eggs'})
0.00908278737343657,frozenset({'Organic Roma Tomato'})
0.00891261805496469,frozenset({'Whipped Cream Cheese'})
0.0077001616608525485,frozenset({'Watermelon Chunks'})
0.005530502850336084,frozenset({'Trilogy Kombucha Drink'})
0.00546668935590913,frozenset({'Organic Broccoli Crowns'})
0.006508976431549391,frozenset({'Organic Leek'})
0.015527950310559006,frozenset({'Boneless Skinless Chicken Breasts'})
0.011443886667233897,frozenset({'Shredded Parmesan'})
